Fecha;NroInscripcion;Matricula;Tpcm;SnkComerciante;Agrupacion;Acto;Libro;Tipo Documento;SnkActo
10/01/2018;38;15004;28;3099;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
10/01/2018;39;15004;28;3099;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
10/01/2018;40;821;28;2472;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;629
10/01/2018;41;2964;21;7205;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
10/01/2018;42;2964;21;7205;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;629
11/01/2018;43;429;22;10757;OTROS ACTOS;41 - PODER- ORTORGAMIENTO;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ESCRITURA PÚBLICA;435
11/01/2018;44;8648;21;7011;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
11/01/2018;45;6729;28;85;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
11/01/2018;46;6921;28;2490;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
11/01/2018;47;1490;28;2303;OTROS ACTOS;5 - DISOLUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;104
11/01/2018;48;1490;28;2303;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
11/01/2018;49;1490;28;2303;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
11/01/2018;50;18160;28;2965;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;2
12/01/2018;51;9757;21;7796;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
12/01/2018;52;9757;21;7796;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
12/01/2018;53;11885;21;7689;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
12/01/2018;54;17154;22;10761;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;EXTRACTO DE ACTA;31
12/01/2018;55;17154;22;10761;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;EXTRACTO DE ACTA;236
12/01/2018;56;673;21;20932;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
12/01/2018;57;6954;21;6130;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
12/01/2018;58;17865;22;11083;OTROS ACTOS;5 - DISOLUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;104
15/01/2018;59;1258;28;2999;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
15/01/2018;60;16382;21;7534;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
15/01/2018;61;16382;21;7534;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;629
15/01/2018;62;15479;21;7368;LIQUIDACION-P JURIDICA;6 - LIQUIDACION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;122
15/01/2018;63;18161;21;7099;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;2
15/01/2018;64;15087;22;11006;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
15/01/2018;65;15087;22;11006;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
15/01/2018;66;15619;21;6963;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
15/01/2018;67;14683;22;10759;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
15/01/2018;68;14683;22;10759;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
15/01/2018;69;7498;28;2867;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
15/01/2018;70;925;21;7529;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
16/01/2018;71;17473;21;7435;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
16/01/2018;72;12962;28;2966;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
16/01/2018;73;15327;22;10672;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
16/01/2018;74;16418;22;10772;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
16/01/2018;75;17234;22;10768;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
16/01/2018;76;17234;22;10768;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
16/01/2018;77;17234;22;10768;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
16/01/2018;78;5121;21;13522;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
17/01/2018;79;5225;21;7579;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;629
17/01/2018;80;18163;22;11012;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;2
17/01/2018;81;15104;22;10765;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
17/01/2018;82;15104;22;10765;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
17/01/2018;83;16658;21;7965;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
17/01/2018;84;18164;21;6996;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;2
17/01/2018;85;17625;21;7673;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
17/01/2018;86;17625;21;7673;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
17/01/2018;87;7475;28;2704;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
17/01/2018;88;7475;28;2704;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
17/01/2018;89;2510;28;26350;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
17/01/2018;90;2510;28;26350;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
18/01/2018;91;13664;21;7058;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
18/01/2018;92;13664;21;7058;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
18/01/2018;93;11038;21;8012;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;629
18/01/2018;94;15245;21;7557;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;DOCUMENTO PRIVADO;236
18/01/2018;95;15245;21;7557;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;DOCUMENTO PRIVADO;236
18/01/2018;96;283;28;2710;LIQUIDACION-P JURIDICA;6 - LIQUIDACION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;122
18/01/2018;97;11279;21;7944;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;629
18/01/2018;98;3546;21;8072;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
18/01/2018;99;3546;21;8072;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
18/01/2018;100;3546;21;8072;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
18/01/2018;101;3546;21;8072;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;629
18/01/2018;102;18165;21;7799;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;2
18/01/2018;103;697;22;10716;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;629
19/01/2018;104;18167;21;7391;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;2
19/01/2018;105;12688;21;8042;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;236
19/01/2018;106;18168;22;10807;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;DOCUMENTO PRIVADO;2
19/01/2018;107;17844;28;2672;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
19/01/2018;108;16573;22;16641;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
19/01/2018;109;16573;22;16641;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
19/01/2018;110;16573;22;16641;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
19/01/2018;111;3434;21;23704;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
19/01/2018;112;3434;21;23704;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
19/01/2018;113;3434;21;23704;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
19/01/2018;114;17881;21;7055;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
19/01/2018;115;17881;21;7055;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
19/01/2018;116;12208;21;7289;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
19/01/2018;117;13049;22;11283;LIQUIDACION-P JURIDICA;6 - LIQUIDACION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;122
19/01/2018;118;18169;28;2332;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;2
19/01/2018;119;15319;22;10105;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
22/01/2018;120;2979;28;2408;LIQUIDACION-P JURIDICA;6 - LIQUIDACION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;122
22/01/2018;121;16205;28;2808;OTROS ACTOS;5 - DISOLUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;104
22/01/2018;122;16205;28;2808;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
22/01/2018;123;14316;21;15029;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
22/01/2018;124;14316;21;15029;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
22/01/2018;125;17154;22;10761;OTROS ACTOS;3 - ACLARACIONES;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;58
22/01/2018;126;12570;21;7213;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;629
22/01/2018;128;10464;22;10708;LIQUIDACION-P JURIDICA;6 - LIQUIDACION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;122
22/01/2018;129;10788;21;6966;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
22/01/2018;130;10788;21;6966;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
22/01/2018;131;18171;28;3045;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;2
22/01/2018;132;391;21;7116;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
23/01/2018;133;10865;28;2565;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
23/01/2018;134;10865;28;2565;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
23/01/2018;135;6047;22;11072;OTROS ACTOS;5 - DISOLUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;104
23/01/2018;136;12636;21;8046;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
23/01/2018;137;12636;21;8046;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
23/01/2018;138;12636;21;8046;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;629
